#   nEntries list millis  vec millis
       10000         284         165
       20000        1659         655
       30000        4268        1476
       40000        8185        2623
       50000       13322        4082
       60000       19729        5891
       70000       27522        8016
       80000       36018       10493
       90000       46223       13299
      100000       58657       16512
