#   nEntries list millis  vec millis
       10000         318          163 
       20000        1660          656 
       30000        4269         1471 
       40000        8080         2628 
       50000       13182         4096 
       60000       19509         5929 
       70000       26951         8031 
       80000       36012        10596 
       90000       45961        13372 
      100000       57979        16657 
